row_id,startdate,name,enddate,description,page_url,location.name,offers.validfrom,offers.pricecurrency,offers.name,offers.availability,offers.price
13900,2020-12-12T09:00:00,West Hartford Farmers Market,2020-12-12T13:00:00,"Season: Summer and Fall Market Hours: June 6, 2020 - December 19, 2020 Saturdays, 9:00am - 1:00pm Location: LaSalle Road and Arapahoe Rd, West Hartford, CT",https://local.aarp.org/event/west-hartford-farmers-market-2020-12-12-west-hartford-ct.html,West Hartford Farmers Market,2020-12-12T09:00:00,USD,West Hartford Farmers Market,https://schema.org/InStock,0.0
13901,2020-09-17T19:00:00,Alcoholics Anonymous Meeting - 417 Group,,Open meetings are available to anyone interested in the Alcoholics Anonymous program of recovery from alcoholism. Temporarily meeting outside.,https://local.aarp.org/event/alcoholics-anonymous-meeting-417-group-2020-09-17-gilbert-az.html,Light of Christ Church,2020-09-17T19:00:00,USD,Alcoholics Anonymous Meeting - 417 Group,https://schema.org/InStock,0.0
13902,2020-09-04T18:00:00,Choctaw Farmer's Market,2020-09-04T19:30:00,"Season: Summer and Fall Market Hours: June 2020 - October 2020Fridays, 6p.m-7:30p.m. Location: Choctaw Creek Park located at 2001 North Harper",https://local.aarp.org/event/choctaw-farmers-market-2020-09-04-choctaw-ok.html,Choctaw Creek Park,2020-09-04T18:00:00,USD,Choctaw Farmer's Market,https://schema.org/InStock,0.0
13903,2020-11-19T10:00:00,Wilkes Barre Farmers Market,2020-11-19T16:00:00,"Season: Summer and Fall Market Hours: June 25 - November 19, 2020Thursdays, 10am - 4pm Location:Public Square,Wilkes Barre, PA",https://local.aarp.org/event/wilkes-barre-farmers-market-2020-11-19-wilkes-barre-pa.html,Public Square,2020-11-19T10:00:00,USD,Wilkes Barre Farmers Market,https://schema.org/InStock,0.0
13904,2020-09-03T16:00:00,Zumba Class,,"Zumba A fusion of Latin and International music/dance themes creating a dynamic, exciting, effective fitness work out! The routines feature simple, easy to",https://local.aarp.org/event/zumba-class-2020-09-03-fort-washington-md.html,Fort Washington Medical Center,2020-09-03T16:00:00,USD,Zumba Class,https://schema.org/InStock,0.0
13905,2020-08-29T09:00:00,Northwest Farmers Market,2020-08-29T14:00:00,"Season:Summer Market Hours: May 16, 2020 - October, 2020Saturdays, 9AM - 2PM Location:Taylor Park -1 North Main Street",https://local.aarp.org/event/northwest-farmers-market-2020-08-29-saint-albans-vt.html,Taylor Park,2020-08-29T09:00:00,USD,Northwest Farmers Market,https://schema.org/InStock,0.0
13906,2020-09-16T11:00:00,Downtown Fond du Lac Farmers Market,2020-09-16T14:00:00,"Season: Summer Market Hour: May 16, 2020 - October 31, 2020Saturdays, 8AM - 12PM June 3, 2020 - September 30, 2020Wednesdays, 11AM - 2PM Location: Main Street",https://local.aarp.org/event/downtown-fond-du-lac-farmers-market-2020-09-16-fond-du-lac-wi.html,Fond Du Lac Farmers Market,2020-09-16T11:00:00,USD,Downtown Fond du Lac Farmers Market,https://schema.org/InStock,0.0
13907,2021-02-27T08:00:00,Grand Lagoon Farmers Market,2021-02-27T13:00:00,"Season: Year Round Market Hours: June, 2020 - August, 2020: Saturdays, 8am - 1pm September, 2020 - May, 2021: Saturdays and Sundays, 8AM - 1PM Location:Capt",https://local.aarp.org/event/grand-lagoon-farmers-market-2021-02-27-panama-city-beach-fl.html,Capt. Anderson's Restaurant,2021-02-27T08:00:00,USD,Grand Lagoon Farmers Market,https://schema.org/InStock,0.0
13908,2020-10-10T09:30:00,St. Albans Hixson Market,2020-10-10T12:30:00,"Season: Year Round Market Hours:Saturdays, 9:30 AM - 12:30 PMLocation: 7514 Hixson Pike",https://local.aarp.org/event/st-albans-hixson-market-2020-10-10-hixson-tn.html,St. Albans Hixson Market,2020-10-10T09:30:00,USD,St. Albans Hixson Market,https://schema.org/InStock,0.0
13909,2020-10-24T07:00:00,Death Valley Half Marathon,,Death Valley Half Marathon,https://local.aarp.org/amargosa-valley-nv/events/,Furnace Creek Inn And Ranch Resort,2020-10-24T07:00:00,USD,Death Valley Half Marathon,https://schema.org/InStock,0.0
13910,2020-09-19T09:00:00,Oak Park Farmers Market,2020-09-19T13:00:00,"Season: SummerMarket Hours: May - October, 2020Saturdays, 9AM - 1PM Location: McClatchy Park at 35th Street and 5th Avenue.",https://local.aarp.org/event/oak-park-farmers-market-2020-09-19-sacramento-ca.html,McClatchy Park,2020-09-19T09:00:00,USD,Oak Park Farmers Market,https://schema.org/InStock,0.0
13911,2020-10-02T19:00:00,Alcoholics Anonymous: Penguin Group,,This meeting is open and anyone may attend.,https://local.aarp.org/event/alcoholics-anonymous-penguin-group-2020-10-02-grimes-ia.html,Grimes United Methodist Church,2020-10-02T19:00:00,USD,Alcoholics Anonymous: Penguin Group,https://schema.org/InStock,0.0
13912,2020-09-29T12:15:00,Smart Recovery Meeting,2020-09-29T13:45:00,Main Contact: Tony Pipia Facilitator +1 830-312-3297 tonypipia@hotmail.com,https://local.aarp.org/event/smart-recovery-meeting-2020-09-29-new-braunfels-tx.html,Gruene United Methodist Church,2020-09-29T12:15:00,USD,Smart Recovery Meeting,https://schema.org/InStock,0.0
13913,2020-08-22T10:00:00,Urbandale Farm Stand,2020-08-22T14:00:00,"Season: Summer Market Hours: July - September, 2020Saturdays, 10am - 2pmLocation: 700 Block of South Hayford Avenue",https://local.aarp.org/event/urbandale-farm-stand-2020-08-22-lansing-mi.html,Urbandale Farm Stand,2020-08-22T10:00:00,USD,Urbandale Farm Stand,https://schema.org/InStock,0.0
13914,2020-09-23T13:30:00,Gentle Yoga Class,2020-09-23T14:30:00,"Learn how gentle yoga can help reduce your stress, improve strength and increase range of motion. Yoga mats and supplies are provided if needed. Chair yoga is",https://local.aarp.org/event/gentle-yoga-class-2020-09-23-columbus-oh.html,Mount Carmel Haven of Hope,2020-09-23T13:30:00,USD,Gentle Yoga Class,https://schema.org/InStock,0.0
13915,2020-09-11T10:00:00,Longer Life Fitness Class,2020-09-11T11:00:00,"This class blends aerobic exercise to improve stamina, muscle strengthening and endurance exercise to support activities of daily living, balance exercises to",https://local.aarp.org/event/longer-life-fitness-class-2020-09-11-kailua-hi.html,Harry and Jeanette Weinberg Medical Plaza and Wellness Center,2020-09-11T10:00:00,USD,Longer Life Fitness Class,https://schema.org/InStock,0.0
13916,2020-11-12T15:30:00,East Hollywood Certified Farmers Market,2020-11-12T19:30:00,"Season: Year Round Market Hours:Mondays and Thursdays, 3:30 pm - 7:30 pmLocation: 5448 Hollywood Boulevard, Los Angeles, CA 90028",https://local.aarp.org/event/east-hollywood-certified-farmers-market-2020-11-12-los-angeles-ca.html,East Hollywood Certified Farmers Market,2020-11-12T15:30:00,USD,East Hollywood Certified Farmers Market,https://schema.org/InStock,0.0
13917,2020-08-29T08:00:00,Thunder in the Valley Triathlon,,Coming into it's 35th year the Thunder in Valley is a time proven Hoosier favorite! Athletes ranging from 1st timers to best best pros in the world have come,https://local.aarp.org/event/thunder-in-the-valley-triathlon-2020-08-29-terre-haute-in.html,Hawthorn Park,2020-08-29T08:00:00,USD,Thunder in the Valley Triathlon,https://schema.org/InStock,0.0
13918,2020-09-15T20:00:00,Alcoholics Anonymous,,"Location: de Marneffe Building, Room 132 Call 617.426.9444 for information",https://local.aarp.org/event/alcoholics-anonymous-2020-09-15-belmont-ma.html,McLean Hospital,2020-09-15T20:00:00,USD,Alcoholics Anonymous,https://schema.org/InStock,0.0
13919,2020-10-27T11:00:00,Copley Square Farmers Market,2020-10-27T18:00:00,"Season: Summer Market Hours: May 15 - November 24, 2020Tuesday and Friday, 11am - 6pm Location:Along St. James Avenue, Dartmouth Street Boylston Street139",https://local.aarp.org/event/copley-square-farmers-market-2020-10-27-boston-ma.html,Copley Square Farmers Market,2020-10-27T11:00:00,USD,Copley Square Farmers Market,https://schema.org/InStock,0.0
